petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,h_alpha_flux
19.026527,17.957987,17.531353,17.310799,17.1168,116.08287
20.35117,18.36927,17.391985,16.964819,16.65609,7.348219
18.226545,17.127041,16.718174,16.535877,16.366821,90.212494
19.439081,17.650543,16.751598,16.357197,16.039221,7.950639
19.139555,17.946575,17.151257,16.699806,16.42592,11.990512
20.532433,18.746225,17.755035,17.248497,16.863388,159.595306
21.787401,19.059837,17.77009,17.309971,17.026514,1.708873
19.700089,18.47839,17.462687,16.994169,16.55162,22.826416
19.563789,17.975378,17.08284,16.676754,16.34111,27.303526
19.456266,17.716347,17.004259,16.693235,16.480848,8.937429
20.207977,17.975376,17.05669,16.626717,16.299337,66.835526
19.037857,17.887205,17.493166,17.305042,17.21612,75.672356
18.86573,17.62273,16.919132,16.50042,16.222767,67.387764
19.604691,17.959915,17.256086,16.878716,16.630955,67.02285
19.235735,17.765163,16.988577,16.574146,16.257963,185.261627
20.295559,18.706076,17.82935,17.38413,17.026184,70.702377
19.121601,17.562056,16.757526,16.364655,16.083101,228.102707
19.278053,18.138926,17.543646,17.266594,17.123005,175.116974
19.266504,17.657661,16.771849,16.348898,16.087265,36.124146
18.782419,17.09758,16.500134,16.208399,16.087717,175.977051
18.089336,17.004631,16.578403,16.258467,16.08065,997.226501
19.504375,18.223598,17.637106,17.288553,16.951794,165.790085
18.803616,17.61763,17.151854,16.844147,16.686712,125.953682
20.22855,18.230253,17.352659,16.942591,16.544935,34.225018
20.403627,18.87229,17.704487,17.354109,17.014494,20.375937
20.25886,18.578297,17.142094,16.698048,16.415457,2.423274
19.665897,17.751085,16.852324,16.38278,16.096729,595.15686
19.223482,17.849539,17.230715,16.892818,16.798607,253.607697
19.361357,18.125122,17.745008,17.443598,17.481079,279.773254
22.42351,20.823227,20.091703,19.728882,19.103674,72.488884
25.333574,20.206705,18.528549,17.922188,17.546055,3.188078
19.489708,17.61377,16.689898,16.284571,15.990425,6.092221
18.690422,17.659878,17.173906,16.877817,16.678171,181.359543
19.433575,18.137945,17.320362,16.850594,16.557402,105.295662
19.300409,18.354063,17.971113,17.656435,17.418533,158.294083
19.690981,18.208679,17.48057,17.07155,16.916874,264.615143
19.797413,18.391356,17.703609,17.310432,17.165236,146.275101
20.31414,18.612391,17.522747,17.040743,16.663105,12.097171
18.768471,18.320761,17.333563,16.860096,16.61203,48.898335
20.416769,18.622978,17.723955,17.297911,16.984135,2.156769
19.246927,18.403336,18.049381,17.709679,17.677273,235.464523
18.558069,17.615501,17.221298,16.994394,16.901564,657.404663
19.194485,18.119236,17.317307,17.016085,16.846956,71.333153
20.026688,18.417297,17.533386,17.153303,16.838789,7.575798
20.048338,18.563725,17.557297,17.081638,16.670677,20.155762
18.964361,17.599588,17.203156,16.880138,16.847002,234.342392
19.732197,19.004974,17.431356,17.104574,17.065636,7.916683
18.922945,17.51409,16.73373,16.420229,16.463438,114.858643
20.216551,18.576605,17.491682,17.038086,16.664137,12.057052
19.916712,18.229753,17.321627,16.905678,16.596107,51.583767
19.003868,18.288286,17.730013,17.527319,17.321136,57.002815
19.267218,18.192539,17.63554,17.208448,16.984116,452.149109
19.406744,17.812435,16.784294,16.389877,16.067539,15.289586
18.63319,17.628096,17.193808,16.928032,16.77639,575.773071
19.538078,18.432928,17.833643,17.478262,17.312092,128.625961
19.81426,18.041199,17.125204,16.713009,16.320351,9.831691
20.060486,18.560492,17.529194,17.075047,16.80027,35.126587
20.379061,19.677826,19.186705,18.942362,19.102793,1150.0957
20.183807,18.442516,17.509439,17.066372,16.672388,9.814755
19.314425,17.83433,16.951479,16.501041,16.167412,84.549698
18.914165,17.631548,17.32538,17.118196,16.947012,70.263763
20.125475,18.289762,17.124386,16.660753,16.253717,1.075176
19.315025,17.709465,16.948181,16.580776,16.284014,26.285847
19.292398,18.133877,17.656599,17.281162,17.025,148.374573
20.133942,18.173738,17.065145,16.60107,16.304695,13.802417
19.623852,18.037186,17.412313,17.104586,16.782064,137.494476
20.392809,18.796425,17.694715,17.227198,16.815237,5.900105
19.89011,18.067921,17.158749,16.750002,16.46237,22.251694
20.50168,18.595833,17.739786,17.322329,16.985361,7.443449
19.35659,18.316273,17.772621,17.383224,17.154902,71.42527
20.704521,18.631687,17.600649,17.199278,16.774298,2.361803
20.021042,18.341404,17.29508,16.891552,16.5229,22.396709
19.31382,17.907764,17.086147,16.693735,16.430199,67.519226
20.175179,18.508228,17.552795,17.111967,16.754988,19.342037
19.576775,17.411417,17.067558,16.875713,16.970343,172.91568
19.508888,17.913128,17.683054,17.607824,17.986479,711.592834
18.625959,17.458998,16.951635,16.610771,16.31613,246.383728
19.481379,18.257511,17.380672,16.942047,16.610867,196.289337
19.879145,18.260441,17.605095,17.314909,17.07056,167.475815
18.518496,17.595007,17.289,16.960836,16.70056,15.890189
25.974886,19.698797,18.13423,17.532721,17.099525,4.42369
19.513691,17.9084,17.087767,16.741535,16.488035,51.275578
18.639486,17.236637,16.470913,16.064283,15.792725,29.002447
19.077135,17.811541,17.172937,16.801239,16.671839,74.055664
19.436937,18.284847,17.740149,17.36904,17.115313,478.842621
18.605846,17.203682,16.484423,16.06963,15.935165,121.959785
20.101377,18.310354,17.432585,17.026205,16.747934,25.601563
19.639828,17.999027,16.990387,16.597181,16.248333,3.384353
19.661095,18.267588,17.392794,17.071592,17.056322,124.225525
20.534847,18.936211,17.756683,17.292673,17.061012,4.42118
20.100632,18.207172,17.221991,16.786938,16.484995,13.254125
20.57865,18.479805,17.581316,17.177,16.954777,0.196979
19.796076,18.293144,17.498535,17.088093,16.846395,48.581543
20.12142,18.661505,17.795639,17.35503,17.054588,33.075317
19.956612,18.430117,17.502102,17.064625,16.822399,45.948517
21.115391,20.203941,18.602892,17.972685,17.651419,8.086542
19.424809,17.77585,16.966631,16.564974,16.261892,27.886936
19.259727,18.099234,17.651939,17.374222,17.133268,194.101334
20.297403,18.715492,17.694181,17.295286,16.954525,29.452215
18.668545,18.194197,17.73563,17.79484,22.822708,18.772215
20.518154,18.436911,17.431362,17.069683,16.727402,3.452876E-3
19.883686,17.730988,17.028999,16.626925,16.535295,95.171394
20.46628,18.832098,17.93417,17.560829,17.282045,16.705557
20.701944,19.861904,19.025883,18.748331,18.564966,281.545898
19.500666,17.954899,16.97934,16.536249,16.174294,57.846966
19.05464,17.918501,17.646862,17.18656,17.615297,79.469872
18.839346,17.740164,17.48134,17.276886,16.858185,324.85199
20.54295,18.513575,17.582073,17.181339,16.933905,45.625183
20.182125,18.609442,17.803291,17.357372,17.107924,136.026062
20.068527,18.368313,17.502071,17.09165,16.876255,6.031251
20.356438,18.566612,17.729139,17.36594,17.050329,2.03054
18.701921,17.424513,16.803446,16.441076,16.170898,270.167938
19.342482,18.192669,17.625671,17.251596,17.081106,289.224854
20.506998,18.530153,17.593596,17.174229,16.771206,2.813522
19.747206,17.604565,16.622387,16.202759,15.825047,11.756937
18.669737,17.663359,17.414661,17.296249,17.186966,625.391052
20.350271,18.716827,17.699705,17.263193,16.865839,48.700314
19.416666,17.95862,17.350801,16.967947,16.807117,112.983246
20.314062,18.527201,17.495506,17.034584,16.771252,10.874588
19.108332,17.848141,17.278461,17.004045,16.918001,95.730751
19.106386,18.143507,17.503557,17.089882,16.80662,46.869255
19.744421,18.146406,17.135658,16.688911,16.302473,9.573839
20.372766,19.174761,17.806669,17.36713,17.035122,86.273315
19.336369,18.307322,17.565742,17.093813,16.941692,66.853836
19.962103,18.600487,17.707106,17.277603,16.919506,326.251923
19.305178,17.995296,17.255411,16.851074,16.671562,267.271729
19.700565,17.894535,16.888504,16.463408,16.087275,17.910868
19.460552,18.368622,17.777969,17.380922,17.141815,372.584076
20.043739,18.346115,17.49828,17.085596,16.790232,41.467064
18.990639,17.908186,17.326336,16.994421,16.698326,52.381519
18.900499,17.403746,16.584522,16.18338,15.817326,41.400208
18.352125,17.290882,16.826836,16.466482,16.287426,773.236145
19.75396,18.801466,17.79986,17.327644,17.020254,40.630981
19.538507,17.740608,16.552643,16.078087,15.780242,7.13643
20.418394,18.632885,17.834152,17.447798,17.11171,1.651254
19.759218,18.399643,17.665161,17.242632,16.945446,255.809158
19.437912,18.161898,17.413712,17.114883,16.829424,218.626755
20.359823,18.304411,17.450514,17.058502,16.832664,9.902505
19.635674,18.229809,17.555014,17.188131,16.992886,295.73175
20.48204,18.489695,17.53532,17.119692,16.734053,10.009509
19.218876,18.562925,18.042547,17.587021,17.476423,1147.34656
19.898788,18.413393,17.58799,17.183405,16.881483,199.59964
19.868387,18.463692,17.64077,17.184196,16.915159,229.278503
19.30698,18.125751,17.542469,17.188055,16.949081,388.805145
19.061419,17.55493,16.749956,16.271692,16.197327,91.965401
18.716797,17.438189,16.574638,16.108068,15.943199,42.657097
18.984262,17.786766,17.165913,16.776264,16.637043,303.820526
20.37714,18.601572,17.530489,17.082071,16.712618,10.339821
18.896044,17.483265,16.742662,16.378668,16.111425,76.428635
19.917435,18.168112,17.243176,16.786083,16.395271,89.727585
18.894003,18.122213,17.844776,17.545692,17.326145,290.789001
20.230249,18.473484,17.319866,16.808422,16.456926,22.922121
18.370306,17.428648,16.720079,16.246384,16.125101,1609.08667
19.339615,18.284359,17.803566,17.672661,17.300293,34.443172
21.195004,19.058685,17.752359,17.243193,16.883823,9.303423
19.345974,18.299217,17.739779,17.357376,17.907249,30.414333
19.925129,18.602053,17.78706,17.371086,17.133366,91.810669
18.773664,17.675423,17.189669,16.823765,16.697195,281.935059
19.21151,18.058405,17.570433,17.231976,17.495413,200.254456
20.237524,18.469553,17.499598,17.039389,16.732288,33.477142
19.75473,18.174931,17.274179,16.856792,16.548006,2.936406
20.062231,18.204315,17.266012,16.833998,16.47064,6.668691
20.308052,18.625114,17.723858,17.22402,16.886574,9.596898
20.094246,18.381266,17.456358,17.013184,16.690264,3.026573
19.189621,18.189264,17.688002,17.384235,17.20153,292.470001
23.736027,20.209103,18.553717,17.847332,17.457741,2.077302
20.02301,17.969961,16.982019,16.503893,16.191605,0.71213
21.400944,19.286646,18.240313,17.756306,17.29871,6.904969
20.432182,19.033106,17.82688,17.294041,16.988411,40.429073
18.4583,17.265707,16.525806,16.097061,15.885934,350.17276
19.262327,17.828176,16.992182,16.514362,16.175961,113.002136
19.520197,18.185873,17.630371,17.220917,17.075851,364.037323
21.235054,18.544775,17.614115,17.061049,16.732115,359.25827
19.408052,18.169119,17.55031,17.155579,16.953648,92.646812
19.88163,18.552114,17.557878,17.137177,16.835176,76.347771
19.201067,17.97731,17.436895,17.091087,16.827339,119.15036
20.363817,18.327688,17.35339,16.914982,16.60708,28.076454
19.548088,19.197721,18.606638,18.199919,17.983345,372.369263
18.962318,17.563177,16.798861,16.378748,16.077988,350.802002
19.477535,18.309788,17.741856,17.345797,17.231556,292.56488
